Library Code,AREA,Subject ,Title,Author,Publication
OST-OS-006,,,UNDERSTANDING OPERATING SYSTEMS ,"IDA M.FLYNN,ANN M M",THOMSON
OST-OS-007,,,OPERATING SYSTEMS,BRIAN L. STUART,CANGAGE
OST-OS-008,,,OPERATING SYSTEM FOR COMPUTATIONAL DEVICES,SWATI JAIN,TECH MAX
OST-OS-009,,,OPERATING SYSTEM,SHAH S. S. ,TECH MAX
OST-OS-010,,,UNDERSTANDING OPERATING SYSTEMS ,"IDA M.FLYNN,ANN M M",THOMSON
OST-OS-011,,,UNDERSTANDING OPERATING SYSTEMS ,"IDA M.FLYNN,ANN M M",THOMSON
OST-OS-012,,,OPERATING SYSTEM FOR COMPUTATIONAL DEVICES,SWATI JAIN,TECH MAX
OST-OS-013,,,OPERATING SYSTEM PRINCIPALS,ABRAHAM SILBERSCHARTZ,WILEY
OST-OS-014,,,OPERATING SYSTEMS,GERY NUTT,PEARSON
OST-OS-015,,,OPERATING SYSTEMS,ACHYUT S GODBOLE,TATA MCGRAW HILL
HCI-CG-001,Human Computer Interface,Computer Graphic,INTRODUCTION TO COMPUTER GRAPHICS,KRISHNAMURTHY,TATA MCGRAW HILL
HCI-CG-002,,,INTRODUCTION TO COMPUTER GRAPHICS,KRISHNAMURTHY,TATA MCGRAW HILL
HCI-CG-003,,,COMPUTER GRAPHICS PRINCIPAL AND PRACTICE,FOLEY,PEARSON
HCI-CG-004,,,COMPU TER GRAPHICS AND MULTIMEDIA,ANIRBAN MUKHOPADHYAY,DHANPAT RAI
HCI-CG-005,,,MAYA 7,"RIDDELL, ROBISON, STEIN",PEARSON
HCI-CG-006,,,COMPUTER GRAPHICS ,"SINHA, UDAY",TATA MCGRAW HILL
HCI-CG-007,,,COMPUTER GRAPHICS ,UPTEC,EXCEL BOOK
HCI-CG-008,,,COMPU TER GRAPHICS AND MULTIMEDIA,ANIRBAN MUKHOPADHYAY,DHANPAT RAI
NC-CN-001,Network and Communication, Computer Networks,COMPUTER NETWORK,"V.S BAGAD,I. A DHOTRE",MU
NC-CN-002,,,Communication networks,"LEON-GARCIA, WIDJAJA",TATA MCGRAW HILL
